,Year,Jurisdiction,Health region,Specialty ,Specialty sort,"Physician-to–100,000 population ratio",Number of physicians,Population
89844,2020,Canada,Canada,__Developmental — Pediatrics,43,0,1,"38,048,738"
89845,2020,Canada,Canada,__Emergency medicine — Pediatrics,44,0,139,"38,048,738"
89846,2020,Canada,Canada,__Endocrinology and metabolism — Pediatrics,45,0,95,"38,048,738"
89847,2020,Canada,Canada,__Gastroenterology — Pediatrics,46,0,50,"38,048,738"
89848,2020,Canada,Canada,__Hematology/oncology — Pediatrics,47,0,92,"38,048,738"
89849,2020,Canada,Canada,__Infectious diseases — Pediatrics,48,0,99,"38,048,738"
89850,2020,Canada,Canada,__Neonatal–perinatal medicine,49,0,15,"38,048,738"
89851,2020,Canada,Canada,__Nephrology — Pediatrics,50,0,55,"38,048,738"
89852,2020,Canada,Canada,__Respirology — Pediatrics,51,0,75,"38,048,738"
89853,2020,Canada,Canada,__Rheumatology — Pediatrics,52,0,48,"38,048,738"
89854,2020,Canada,Canada,_Physical medicine and rehabilitation,53,2,572,"38,048,738"
89855,2020,Canada,Canada,_Psychiatry,54,14,"5,410","38,048,738"
89856,2020,Canada,Canada,__Geriatric psychiatry,56,0,2,"38,048,738"
89857,2020,Canada,Canada,_Public health and preventive medicine,57,1,503,"38,048,738"
89858,2020,Canada,Canada,_Radiation oncology,58,2,579,"38,048,738"
89859,2020,Canada,Canada,Laboratory specialists,59,5,"1,960","38,048,738"
89860,2020,Canada,Canada,_Anatomical pathology,60,3,"1,151","38,048,738"
89861,2020,Canada,Canada,_General pathology,61,1,247,"38,048,738"
89862,2020,Canada,Canada,__Forensic pathology,62,0,3,"38,048,738"
89863,2020,Canada,Canada,_Hematological pathology,63,0,111,"38,048,738"
89864,2020,Canada,Canada,_Medical biochemistry,64,0,96,"38,048,738"
89865,2020,Canada,Canada,_Medical microbiology,65,1,303,"38,048,738"
89866,2020,Canada,Canada,_Neuropathology,66,0,49,"38,048,738"
89867,2020,Canada,Canada,Surgical specialists,67,29,"10,914","38,048,738"
89868,2020,Canada,Canada,_Cardiac surgery,68,1,365,"38,048,738"
89869,2020,Canada,Canada,_General surgery,69,6,"2,105","38,048,738"
89870,2020,Canada,Canada,__Colorectal surgery,70,0,1,"38,048,738"
89871,2020,Canada,Canada,__General surgical oncology,71,0,52,"38,048,738"
89872,2020,Canada,Canada,__Pediatric surgery,72,0,62,"38,048,738"
89873,2020,Canada,Canada,_Neurosurgery,73,1,347,"38,048,738"
89874,2020,Canada,Canada,_Obstetrics and gynecology,74,6,"2,406","38,048,738"
89875,2020,Canada,Canada,__Gynecological oncology,75,0,46,"38,048,738"
89876,2020,Canada,Canada,_Ophthalmology,77,3,"1,323","38,048,738"
89877,2020,Canada,Canada,_Orthopedic surgery,78,5,"1,760","38,048,738"
89878,2020,Canada,Canada,_Otolaryngology — Head and neck surgery,79,2,804,"38,048,738"
89879,2020,Canada,Canada,_Plastic surgery,80,2,655,"38,048,738"
89880,2020,Canada,Canada,_Urology,81,2,760,"38,048,738"
89881,2020,Canada,Canada,_Vascular surgery,82,1,228,"38,048,738"
89882,2020,Canada,Canada,Medical scientists,83,0,9,"38,048,738"
93069,2020,Alta.,Calgary Zone,All physicians,1,295,"5,041","1,710,214"
89884,2020,N.L.,N.L.,All specialists,2,130,677,"520,438"
89885,2020,N.L.,N.L.,Family medicine,3,131,684,"520,438"
89886,2020,N.L.,N.L.,__General practice,4,64,332,"520,438"
89887,2020,N.L.,N.L.,__Emergency family medicine,5,2,11,"520,438"
89888,2020,N.L.,N.L.,__Family medicine,6,66,341,"520,438"
89889,2020,N.L.,N.L.,Medical specialists,7,93,486,"520,438"
89890,2020,N.L.,N.L.,Clinical specialists,8,87,451,"520,438"
89891,2020,N.L.,N.L.,_Anesthesiology,9,12,64,"520,438"
89892,2020,N.L.,N.L.,_Dermatology,10,2,10,"520,438"
89893,2020,N.L.,N.L.,_Diagnostic radiology,11,11,58,"520,438"
89894,2020,N.L.,N.L.,_Emergency medicine,14,0,1,"520,438"
89895,2020,N.L.,N.L.,_Internal medicine,15,16,83,"520,438"
89896,2020,N.L.,N.L.,__Cardiology,16,3,15,"520,438"
89897,2020,N.L.,N.L.,__Critical care medicine,19,1,4,"520,438"
89898,2020,N.L.,N.L.,__Endocrinology and metabolism,20,1,7,"520,438"
89899,2020,N.L.,N.L.,__Gastroenterology,21,1,7,"520,438"
89900,2020,N.L.,N.L.,__Hematology,24,2,10,"520,438"
89901,2020,N.L.,N.L.,__Infectious diseases,25,1,3,"520,438"
89902,2020,N.L.,N.L.,__Medical oncology,26,0,2,"520,438"
89903,2020,N.L.,N.L.,__Respirology,30,0,1,"520,438"
89904,2020,N.L.,N.L.,__Rheumatology,31,1,4,"520,438"
89905,2020,N.L.,N.L.,_Neurology,33,2,12,"520,438"
89906,2020,N.L.,N.L.,_Nuclear medicine,35,0,2,"520,438"
89907,2020,N.L.,N.L.,_Pediatrics,36,10,53,"520,438"
89908,2020,N.L.,N.L.,__Adolescent medicine — Pediatrics,37,0,1,"520,438"
89909,2020,N.L.,N.L.,__Cardiology — Pediatrics,38,1,4,"520,438"
89910,2020,N.L.,N.L.,__Clinical immunology and allergy — Pediatrics,40,0,2,"520,438"
89911,2020,N.L.,N.L.,__Critical care medicine — Pediatrics,42,0,1,"520,438"
89912,2020,N.L.,N.L.,__Endocrinology and metabolism — Pediatrics,45,1,3,"520,438"
89913,2020,N.L.,N.L.,__Gastroenterology — Pediatrics,46,0,2,"520,438"
89914,2020,N.L.,N.L.,__Hematology/oncology — Pediatrics,47,0,1,"520,438"
89915,2020,N.L.,N.L.,__Infectious diseases — Pediatrics,48,0,1,"520,438"
89916,2020,N.L.,N.L.,__Rheumatology — Pediatrics,52,0,1,"520,438"
89917,2020,N.L.,N.L.,_Physical medicine and rehabilitation,53,1,4,"520,438"
89918,2020,N.L.,N.L.,_Psychiatry,54,16,83,"520,438"
89919,2020,N.L.,N.L.,_Public health and preventive medicine,57,0,2,"520,438"
89920,2020,N.L.,N.L.,_Radiation oncology,58,2,10,"520,438"
89921,2020,N.L.,N.L.,Laboratory specialists,59,7,35,"520,438"
89922,2020,N.L.,N.L.,_Anatomical pathology,60,5,28,"520,438"
89923,2020,N.L.,N.L.,_General pathology,61,1,3,"520,438"
89924,2020,N.L.,N.L.,_Hematological pathology,63,0,1,"520,438"
89925,2020,N.L.,N.L.,_Medical microbiology,65,0,2,"520,438"
89926,2020,N.L.,N.L.,_Neuropathology,66,0,1,"520,438"
89927,2020,N.L.,N.L.,Surgical specialists,67,37,191,"520,438"
89928,2020,N.L.,N.L.,_Cardiac surgery,68,1,3,"520,438"
89929,2020,N.L.,N.L.,_General surgery,69,11,55,"520,438"
89930,2020,N.L.,N.L.,_Neurosurgery,73,1,5,"520,438"
89931,2020,N.L.,N.L.,_Obstetrics and gynecology,74,9,45,"520,438"
89932,2020,N.L.,N.L.,__Gynecological oncology,75,0,1,"520,438"
89933,2020,N.L.,N.L.,_Ophthalmology,77,4,19,"520,438"
89934,2020,N.L.,N.L.,_Orthopedic surgery,78,6,30,"520,438"
89935,2020,N.L.,N.L.,_Otolaryngology — Head and neck surgery,79,3,14,"520,438"
89936,2020,N.L.,N.L.,_Plastic surgery,80,1,4,"520,438"
89937,2020,N.L.,N.L.,_Urology,81,2,13,"520,438"
89938,2020,N.L.,N.L.,_Vascular surgery,82,0,2,"520,438"
93138,2020,Alta.,Central Zone,All physicians,1,159,761,"479,938"
89940,2020,N.L.,Eastern Health,All specialists,2,158,504,"318,510"
89941,2020,N.L.,Eastern Health,Family medicine,3,138,438,"318,510"
89942,2020,N.L.,Eastern Health,__General practice,4,66,210,"318,510"
89943,2020,N.L.,Eastern Health,__Emergency family medicine,5,3,10,"318,510"
89944,2020,N.L.,Eastern Health,__Family medicine,6,68,218,"318,510"
89945,2020,N.L.,Eastern Health,Medical specialists,7,119,379,"318,510"
89946,2020,N.L.,Eastern Health,Clinical specialists,8,111,353,"318,510"
89947,2020,N.L.,Eastern Health,_Anesthesiology,9,14,46,"318,510"
89948,2020,N.L.,Eastern Health,_Dermatology,10,3,9,"318,510"
89949,2020,N.L.,Eastern Health,_Diagnostic radiology,11,13,42,"318,510"
89950,2020,N.L.,Eastern Health,_Emergency medicine,14,0,1,"318,510"
89951,2020,N.L.,Eastern Health,_Internal medicine,15,19,59,"318,510"
89952,2020,N.L.,Eastern Health,__Cardiology,16,4,14,"318,510"
89953,2020,N.L.,Eastern Health,__Critical care medicine,19,1,4,"318,510"
89954,2020,N.L.,Eastern Health,__Endocrinology and metabolism,20,2,7,"318,510"
89955,2020,N.L.,Eastern Health,__Gastroenterology,21,2,7,"318,510"
89956,2020,N.L.,Eastern Health,__Hematology,24,3,10,"318,510"
89957,2020,N.L.,Eastern Health,__Infectious diseases,25,1,2,"318,510"
89958,2020,N.L.,Eastern Health,__Medical oncology,26,1,2,"318,510"
89959,2020,N.L.,Eastern Health,__Respirology,30,0,1,"318,510"
89960,2020,N.L.,Eastern Health,__Rheumatology,31,1,4,"318,510"
89961,2020,N.L.,Eastern Health,_Neurology,33,3,9,"318,510"
89962,2020,N.L.,Eastern Health,_Nuclear medicine,35,1,2,"318,510"
89963,2020,N.L.,Eastern Health,_Pediatrics,36,14,44,"318,510"
89964,2020,N.L.,Eastern Health,__Adolescent medicine — Pediatrics,37,0,1,"318,510"
89965,2020,N.L.,Eastern Health,__Cardiology — Pediatrics,38,1,4,"318,510"
89966,2020,N.L.,Eastern Health,__Clinical immunology and allergy — Pediatrics,40,0,1,"318,510"
89967,2020,N.L.,Eastern Health,__Critical care medicine — Pediatrics,42,0,1,"318,510"
89968,2020,N.L.,Eastern Health,__Endocrinology and metabolism — Pediatrics,45,1,3,"318,510"
89969,2020,N.L.,Eastern Health,__Gastroenterology — Pediatrics,46,0,1,"318,510"
89970,2020,N.L.,Eastern Health,__Hematology/oncology — Pediatrics,47,0,1,"318,510"
89971,2020,N.L.,Eastern Health,__Infectious diseases — Pediatrics,48,0,1,"318,510"
89972,2020,N.L.,Eastern Health,__Rheumatology — Pediatrics,52,0,1,"318,510"
89973,2020,N.L.,Eastern Health,_Physical medicine and rehabilitation,53,1,2,"318,510"
89974,2020,N.L.,Eastern Health,_Psychiatry,54,20,63,"318,510"
89975,2020,N.L.,Eastern Health,_Public health and preventive medicine,57,0,1,"318,510"
89976,2020,N.L.,Eastern Health,_Radiation oncology,58,3,10,"318,510"
89977,2020,N.L.,Eastern Health,Laboratory specialists,59,8,26,"318,510"
89978,2020,N.L.,Eastern Health,_Anatomical pathology,60,6,20,"318,510"
89979,2020,N.L.,Eastern Health,_General pathology,61,1,2,"318,510"
89980,2020,N.L.,Eastern Health,_Hematological pathology,63,0,1,"318,510"
89981,2020,N.L.,Eastern Health,_Medical microbiology,65,1,2,"318,510"
89982,2020,N.L.,Eastern Health,_Neuropathology,66,0,1,"318,510"
89983,2020,N.L.,Eastern Health,Surgical specialists,67,39,125,"318,510"
89984,2020,N.L.,Eastern Health,_Cardiac surgery,68,1,2,"318,510"
89985,2020,N.L.,Eastern Health,_General surgery,69,10,33,"318,510"
89986,2020,N.L.,Eastern Health,_Neurosurgery,73,2,5,"318,510"
89987,2020,N.L.,Eastern Health,_Obstetrics and gynecology,74,9,29,"318,510"
89988,2020,N.L.,Eastern Health,__Gynecological oncology,75,0,1,"318,510"
89989,2020,N.L.,Eastern Health,_Ophthalmology,77,3,11,"318,510"
89990,2020,N.L.,Eastern Health,_Orthopedic surgery,78,6,18,"318,510"
89991,2020,N.L.,Eastern Health,_Otolaryngology — Head and neck surgery,79,3,11,"318,510"
89992,2020,N.L.,Eastern Health,_Plastic surgery,80,1,4,"318,510"
89993,2020,N.L.,Eastern Health,_Urology,81,3,9,"318,510"
89994,2020,N.L.,Eastern Health,_Vascular surgery,82,1,2,"318,510"
93178,2020,Alta.,Edmonton Zone,All physicians,1,289,"4,231","1,464,783"
89996,2020,N.L.,Central Health,All specialists,2,78,71,"90,781"
89997,2020,N.L.,Central Health,Family medicine,3,119,108,"90,781"
89998,2020,N.L.,Central Health,__General practice,4,66,60,"90,781"
89999,2020,N.L.,Central Health,__Emergency family medicine,5,1,1,"90,781"
90000,2020,N.L.,Central Health,__Family medicine,6,52,47,"90,781"
90001,2020,N.L.,Central Health,Medical specialists,7,48,44,"90,781"
90002,2020,N.L.,Central Health,Clinical specialists,8,44,40,"90,781"
90003,2020,N.L.,Central Health,_Anesthesiology,9,6,5,"90,781"
90004,2020,N.L.,Central Health,_Diagnostic radiology,11,8,7,"90,781"
90005,2020,N.L.,Central Health,_Internal medicine,15,12,11,"90,781"
90006,2020,N.L.,Central Health,__Infectious diseases,25,1,1,"90,781"
90007,2020,N.L.,Central Health,_Neurology,33,2,2,"90,781"
90008,2020,N.L.,Central Health,_Pediatrics,36,4,4,"90,781"
90009,2020,N.L.,Central Health,__Gastroenterology — Pediatrics,46,1,1,"90,781"
90010,2020,N.L.,Central Health,_Psychiatry,54,10,9,"90,781"
90011,2020,N.L.,Central Health,Laboratory specialists,59,4,4,"90,781"
90012,2020,N.L.,Central Health,_Anatomical pathology,60,4,4,"90,781"
90013,2020,N.L.,Central Health,Surgical specialists,67,30,27,"90,781"
90014,2020,N.L.,Central Health,_General surgery,69,10,9,"90,781"
90015,2020,N.L.,Central Health,_Obstetrics and gynecology,74,7,6,"90,781"
90016,2020,N.L.,Central Health,_Ophthalmology,77,3,3,"90,781"
90017,2020,N.L.,Central Health,_Orthopedic surgery,78,6,5,"90,781"
90018,2020,N.L.,Central Health,_Otolaryngology — Head and neck surgery,79,2,2,"90,781"
90019,2020,N.L.,Central Health,_Urology,81,2,2,"90,781"
93248,2020,Alta.,North Zone,All physicians,1,118,541,"459,193"
90021,2020,N.L.,Western Health,All specialists,2,99,76,"76,696"
90022,2020,N.L.,Western Health,Family medicine,3,117,90,"76,696"
90023,2020,N.L.,Western Health,__General practice,4,52,40,"76,696"
90024,2020,N.L.,Western Health,__Family medicine,6,65,50,"76,696"
90025,2020,N.L.,Western Health,Medical specialists,7,69,53,"76,696"
90026,2020,N.L.,Western Health,Clinical specialists,8,64,49,"76,696"
90027,2020,N.L.,Western Health,_Anesthesiology,9,12,9,"76,696"
90028,2020,N.L.,Western Health,_Dermatology,10,1,1,"76,696"
90029,2020,N.L.,Western Health,_Diagnostic radiology,11,12,9,"76,696"
90030,2020,N.L.,Western Health,_Internal medicine,15,16,12,"76,696"
90031,2020,N.L.,Western Health,__Cardiology,16,1,1,"76,696"
90032,2020,N.L.,Western Health,_Neurology,33,1,1,"76,696"
90033,2020,N.L.,Western Health,_Pediatrics,36,5,4,"76,696"
90034,2020,N.L.,Western Health,__Clinical immunology and allergy — Pediatrics,40,1,1,"76,696"
90035,2020,N.L.,Western Health,_Physical medicine and rehabilitation,53,3,2,"76,696"
90036,2020,N.L.,Western Health,_Psychiatry,54,12,9,"76,696"
90037,2020,N.L.,Western Health,Laboratory specialists,59,5,4,"76,696"
90038,2020,N.L.,Western Health,_Anatomical pathology,60,4,3,"76,696"
90039,2020,N.L.,Western Health,_General pathology,61,1,1,"76,696"
90040,2020,N.L.,Western Health,Surgical specialists,67,30,23,"76,696"
90041,2020,N.L.,Western Health,_General surgery,69,8,6,"76,696"
90042,2020,N.L.,Western Health,_Obstetrics and gynecology,74,7,5,"76,696"
90043,2020,N.L.,Western Health,_Ophthalmology,77,5,4,"76,696"
90044,2020,N.L.,Western Health,_Orthopedic surgery,78,8,6,"76,696"
90045,2020,N.L.,Western Health,_Urology,81,3,2,"76,696"
93026,2020,Alta.,South Zone,All physicians,1,195,600,"307,748"
90047,2020,N.L.,Labrador–Grenfell Health,All specialists,2,66,24,"36,116"
90048,2020,N.L.,Labrador–Grenfell Health,Family medicine,3,127,46,"36,116"
90049,2020,N.L.,Labrador–Grenfell Health,__General practice,4,55,20,"36,116"
90050,2020,N.L.,Labrador–Grenfell Health,__Family medicine,6,72,26,"36,116"
90051,2020,N.L.,Labrador–Grenfell Health,Medical specialists,7,28,10,"36,116"
90052,2020,N.L.,Labrador–Grenfell Health,Clinical specialists,8,25,9,"36,116"
90053,2020,N.L.,Labrador–Grenfell Health,_Anesthesiology,9,11,4,"36,116"
90054,2020,N.L.,Labrador–Grenfell Health,_Internal medicine,15,3,1,"36,116"
90055,2020,N.L.,Labrador–Grenfell Health,_Pediatrics,36,3,1,"36,116"
90056,2020,N.L.,Labrador–Grenfell Health,_Psychiatry,54,6,2,"36,116"
90057,2020,N.L.,Labrador–Grenfell Health,_Public health and preventive medicine,57,3,1,"36,116"
90058,2020,N.L.,Labrador–Grenfell Health,Laboratory specialists,59,3,1,"36,116"
90059,2020,N.L.,Labrador–Grenfell Health,_Anatomical pathology,60,3,1,"36,116"
90060,2020,N.L.,Labrador–Grenfell Health,Surgical specialists,67,39,14,"36,116"
90061,2020,N.L.,Labrador–Grenfell Health,_General surgery,69,19,7,"36,116"
90062,2020,N.L.,Labrador–Grenfell Health,_Obstetrics and gynecology,74,11,4,"36,116"
90063,2020,N.L.,Labrador–Grenfell Health,_Ophthalmology,77,3,1,"36,116"
90064,2020,N.L.,Labrador–Grenfell Health,_Orthopedic surgery,78,3,1,"36,116"
90065,2020,N.L.,Labrador–Grenfell Health,_Otolaryngology — Head and neck surgery,79,3,1,"36,116"
93279,2020,Alta.,Unknown,All physicians,1,,23,
90067,2020,N.L.,Unknown,All specialists,2,,2,
90068,2020,N.L.,Unknown,Family medicine,3,,2,
90069,2020,N.L.,Unknown,__General practice,4,,2,
90070,2020,N.L.,Unknown,Surgical specialists,67,,2,
90071,2020,N.L.,Unknown,_Cardiac surgery,68,,1,
90072,2020,N.L.,Unknown,_Obstetrics and gynecology,74,,1,
93298,2020,B.C.,B.C.,All physicians,1,254,"13,073","5,153,039"
90074,2020,P.E.I.,P.E.I.,All specialists,2,92,147,"159,819"
90075,2020,P.E.I.,P.E.I.,Family medicine,3,109,175,"159,819"
90076,2020,P.E.I.,P.E.I.,__General practice,4,26,41,"159,819"
90077,2020,P.E.I.,P.E.I.,__Emergency family medicine,5,8,12,"159,819"
90078,2020,P.E.I.,P.E.I.,__Family medicine,6,76,122,"159,819"
90079,2020,P.E.I.,P.E.I.,Medical specialists,7,64,103,"159,819"
90080,2020,P.E.I.,P.E.I.,Clinical specialists,8,59,95,"159,819"
90081,2020,P.E.I.,P.E.I.,_Anesthesiology,9,10,16,"159,819"
90082,2020,P.E.I.,P.E.I.,_Dermatology,10,1,1,"159,819"
90083,2020,P.E.I.,P.E.I.,_Diagnostic radiology,11,6,10,"159,819"
90084,2020,P.E.I.,P.E.I.,_Emergency medicine,14,3,4,"159,819"
90085,2020,P.E.I.,P.E.I.,_Internal medicine,15,11,18,"159,819"
90086,2020,P.E.I.,P.E.I.,__Cardiology,16,1,1,"159,819"
90087,2020,P.E.I.,P.E.I.,__Gastroenterology,21,2,3,"159,819"
90088,2020,P.E.I.,P.E.I.,__Medical oncology,26,2,3,"159,819"
90089,2020,P.E.I.,P.E.I.,__Nephrology,27,1,2,"159,819"
90090,2020,P.E.I.,P.E.I.,__Respirology,30,1,1,"159,819"
90091,2020,P.E.I.,P.E.I.,__Rheumatology,31,1,1,"159,819"
90092,2020,P.E.I.,P.E.I.,_Neurology,33,2,3,"159,819"
90093,2020,P.E.I.,P.E.I.,_Pediatrics,36,7,11,"159,819"
90094,2020,P.E.I.,P.E.I.,_Physical medicine and rehabilitation,53,1,2,"159,819"
90095,2020,P.E.I.,P.E.I.,_Psychiatry,54,9,15,"159,819"
90096,2020,P.E.I.,P.E.I.,_Public health and preventive medicine,57,1,1,"159,819"
90097,2020,P.E.I.,P.E.I.,_Radiation oncology,58,2,3,"159,819"
90098,2020,P.E.I.,P.E.I.,Laboratory specialists,59,5,8,"159,819"
90099,2020,P.E.I.,P.E.I.,_Anatomical pathology,60,2,3,"159,819"
90100,2020,P.E.I.,P.E.I.,_General pathology,61,3,4,"159,819"
90101,2020,P.E.I.,P.E.I.,_Medical microbiology,65,1,1,"159,819"
90102,2020,P.E.I.,P.E.I.,Surgical specialists,67,28,44,"159,819"
90103,2020,P.E.I.,P.E.I.,_General surgery,69,6,10,"159,819"
90104,2020,P.E.I.,P.E.I.,_Obstetrics and gynecology,74,7,11,"159,819"
90105,2020,P.E.I.,P.E.I.,_Ophthalmology,77,4,7,"159,819"
90106,2020,P.E.I.,P.E.I.,_Orthopedic surgery,78,4,7,"159,819"
90107,2020,P.E.I.,P.E.I.,_Otolaryngology — Head and neck surgery,79,3,4,"159,819"
90108,2020,P.E.I.,P.E.I.,_Plastic surgery,80,1,2,"159,819"
90109,2020,P.E.I.,P.E.I.,_Urology,81,1,2,"159,819"
90110,2020,P.E.I.,P.E.I.,_Vascular surgery,82,1,1,"159,819"
,,B.C.,Interior Health Authority,All physicians,1,242,"2,514","1,027,464"
,,B.C.,Fraser Health Authority,All physicians,1,168,3251,1935491
,,B.C.,Vancouver Coastal Health Authority,All physicians,1,313,"4,708","1,237,664"
,,B.C.,Vancouver Island Health Authority,All physicians,1,276,"2,432","857,318"
,,B.C.,Northern Health Authority,All physicians,1,192,614,300138
93867,2020,B.C.,Central Vancouver Island HSDA,All physicians,1,228,677,"297,073"
90112,2020,P.E.I.,Health PEI,All specialists,2,92,147,"159,819"
90113,2020,P.E.I.,Health PEI,Family medicine,3,109,175,"159,819"
90114,2020,P.E.I.,Health PEI,__General practice,4,26,41,"159,819"
90115,2020,P.E.I.,Health PEI,__Emergency family medicine,5,8,12,"159,819"
90116,2020,P.E.I.,Health PEI,__Family medicine,6,76,122,"159,819"
90117,2020,P.E.I.,Health PEI,Medical specialists,7,64,103,"159,819"
90118,2020,P.E.I.,Health PEI,Clinical specialists,8,59,95,"159,819"
90119,2020,P.E.I.,Health PEI,_Anesthesiology,9,10,16,"159,819"
90120,2020,P.E.I.,Health PEI,_Dermatology,10,1,1,"159,819"
90121,2020,P.E.I.,Health PEI,_Diagnostic radiology,11,6,10,"159,819"
90122,2020,P.E.I.,Health PEI,_Emergency medicine,14,3,4,"159,819"
90123,2020,P.E.I.,Health PEI,_Internal medicine,15,11,18,"159,819"
90124,2020,P.E.I.,Health PEI,__Cardiology,16,1,1,"159,819"
90125,2020,P.E.I.,Health PEI,__Gastroenterology,21,2,3,"159,819"
90126,2020,P.E.I.,Health PEI,__Medical oncology,26,2,3,"159,819"
90127,2020,P.E.I.,Health PEI,__Nephrology,27,1,2,"159,819"
90128,2020,P.E.I.,Health PEI,__Respirology,30,1,1,"159,819"
90129,2020,P.E.I.,Health PEI,__Rheumatology,31,1,1,"159,819"
90130,2020,P.E.I.,Health PEI,_Neurology,33,2,3,"159,819"
90131,2020,P.E.I.,Health PEI,_Pediatrics,36,7,11,"159,819"
90132,2020,P.E.I.,Health PEI,_Physical medicine and rehabilitation,53,1,2,"159,819"
90133,2020,P.E.I.,Health PEI,_Psychiatry,54,9,15,"159,819"
90134,2020,P.E.I.,Health PEI,_Public health and preventive medicine,57,1,1,"159,819"
90135,2020,P.E.I.,Health PEI,_Radiation oncology,58,2,3,"159,819"
90136,2020,P.E.I.,Health PEI,Laboratory specialists,59,5,8,"159,819"
90137,2020,P.E.I.,Health PEI,_Anatomical pathology,60,2,3,"159,819"
90138,2020,P.E.I.,Health PEI,_General pathology,61,3,4,"159,819"
90139,2020,P.E.I.,Health PEI,_Medical microbiology,65,1,1,"159,819"
90140,2020,P.E.I.,Health PEI,Surgical specialists,67,28,44,"159,819"
90141,2020,P.E.I.,Health PEI,_General surgery,69,6,10,"159,819"
90142,2020,P.E.I.,Health PEI,_Obstetrics and gynecology,74,7,11,"159,819"
90143,2020,P.E.I.,Health PEI,_Ophthalmology,77,4,7,"159,819"
90144,2020,P.E.I.,Health PEI,_Orthopedic surgery,78,4,7,"159,819"
90145,2020,P.E.I.,Health PEI,_Otolaryngology — Head and neck surgery,79,3,4,"159,819"
90146,2020,P.E.I.,Health PEI,_Plastic surgery,80,1,2,"159,819"
90147,2020,P.E.I.,Health PEI,_Urology,81,1,2,"159,819"
90148,2020,P.E.I.,Health PEI,_Vascular surgery,82,1,1,"159,819"
93366,2020,B.C.,East Kootenay HSDA,All physicians,1,225,195,"86,710"
90150,2020,N.S.,N.S.,All specialists,2,138,"1,354","979,449"
90151,2020,N.S.,N.S.,Family medicine,3,139,"1,365","979,449"
90152,2020,N.S.,N.S.,__General practice,4,41,402,"979,449"
90153,2020,N.S.,N.S.,__Emergency family medicine,5,8,80,"979,449"
90154,2020,N.S.,N.S.,__Family medicine,6,90,883,"979,449"
90155,2020,N.S.,N.S.,Medical specialists,7,100,984,"979,449"
