X,Y,OBJECTID,index_,Name,source_facility_type,odhf_facility_type,provider,unit,Street,CSDname,Prov,postal_code,CSDuid,Pruid,latitude,longitude,LocationSource
-78.97151339,42.90410417,39,2719,Bridges Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,1485 Garrison Road,Fort Erie,ON,L2A1P8,3526003,35,42.90410417,-78.97151339,Provided
-81.19813428,42.7793149500001,40,2924,"Central Chc, St Thomas",children's treatment centre,Hospitals,Province of Ontario,,359 Talbot Street Street,St. Thomas,ON,N5P1B7,3534021,35,42.77931495,-81.19813428,Provided
-79.8711021999999,44.7346478000001,41,2946,Centre De Santé Communautaire Chigamik Chc,children's treatment centre,Hospitals,Province of Ontario,,344 King Street,Midland,ON,L4R4L1,3543074,35,44.7346478,-79.8711022,Provided
-80.99830178,46.4937706800001,42,2947,Centre De Santé Communautaire De Sudbury,children's treatment centre,Hospitals,Province of Ontario,,19 Frood Road,Greater Sudbury / Grand Sudbury,ON,P3C4Y9,3553005,35,46.49377068,-80.99830178,Provided
-82.4193145099999,49.4148716400001,43,3340,Csc De Kapuskasing Et Région (Css),children's treatment centre,Hospitals,Province of Ontario,,27 Avenue Kolb,Kapuskasing,ON,P5N1G2,3556066,35,49.41487164,-82.41931451,Provided
-79.4548372099999,43.67068498,44,3347,Davenport Perth Neighbourhood Centre,children's treatment centre,Hospitals,Province of Ontario,,1900 Davenport Road,Toronto,ON,M6N1B7,3520005,35,43.67068498,-79.45483721,Provided
-79.3163083599999,43.6663051900001,45,3419,East End Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,1619 Queen Street E,Toronto,ON,M4L1G4,3520005,35,43.66630519,-79.31630836,Provided
-79.33261657,43.7098300000001,46,3564,Flemingdon Health Centre,children's treatment centre,Hospitals,Province of Ontario,,10 Gateway Boulevard,Toronto,ON,M3C3A1,3520005,35,43.70983,-79.33261657,Provided
-79.8649483,43.25759679,47,3786,Hamilton Urban Core Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,71 Rebecca Street,Hamilton,ON,L8R1B6,3525005,35,43.25759679,-79.8649483,Provided
-80.4866067199999,43.4503835,48,4094,Kitchener Downtown Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,59 Frederick Street,Kitchener,ON,N2H2L3,3530013,35,43.4503835,-80.48660672,Provided
-74.73159929,45.02919983,49,4161,Le Centre De Sante Communautaire De L'Estrie Ontario,children's treatment centre,Hospitals,Province of Ontario,,841 Sydney Street,Cornwall,ON,K6H5R6,3501012,35,45.02919983,-74.73159929,Provided
-79.2248831799999,42.9855628700001,50,4162,Le Centre De Santé Communautaire Du Hamilton-Wentworth-Niagara Inc.,children's treatment centre,Hospitals,Province of Ontario,,1 Vanier Drive,Welland,ON,L3B1A1,3526032,35,42.98556287,-79.22488318,Provided
-81.33909213,48.4755184700001,51,4397,Misiway Milopemahtesewin Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,130 Wilson Avenue,Timmins,ON,P4N2S9,3556027,35,48.47551847,-81.33909213,Provided
-76.0293137,44.9067145500001,52,4541,North Lanark County Community Health Centre Inc.,children's treatment centre,Hospitals,Province of Ontario,,88 Cornelia Street W,Smiths Falls,ON,K0G1K0,3509004,35,44.90671455,-76.0293137,Provided
-78.84479043,43.86928605,53,4674,Oshawa Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,115 Grassmere Avenue,Oshawa,ON,L1H3X7,3518013,35,43.86928605,-78.84479043,Provided
-78.31652407,43.9563756900001,54,4807,Port Hope Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,99 Toronto Road,Port Hope,ON,L1A3S4,3514020,35,43.95637569,-78.31652407,Provided
-79.48844552,43.6378520800001,55,4906,Regent Park Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,150 Berry Road,Toronto,ON,M8Y1W3,3520005,35,43.63785208,-79.48844552,Provided
-75.84199934,44.9143526600001,56,5018,Rideau Community Health Services,children's treatment centre,Hospitals,Province of Ontario,,354 Read Street,Merrickville-Wolford,ON,K0G1N0,3507052,35,44.91435266,-75.84199934,Provided
-74.73000038,45.02104953,57,5174,Seaway Valley Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,353 Pitt Street,Cornwall,ON,K6J3R1,3501012,35,45.02104953,-74.73000038,Provided
-75.70634624,45.4135699500001,58,5304,Somerset West Community Health Centre - Yet Keen Seniors,children's treatment centre,Hospitals,Province of Ontario,,211 Bronson Avenue,Ottawa,ON,K1R6H5,3506008,35,45.41356995,-75.70634624,Provided
-75.67505383,45.3879918500001,59,5321,South East Grey Chc,children's treatment centre,Hospitals,Province of Ontario,,1355 Bank Street,Ottawa,ON,K1H8K7,3506008,35,45.38799185,-75.67505383,Provided
-79.39930509,43.7097230900001,60,5485,Stonegate Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,2398 Yonge Street,Toronto,ON,M4P2H4,3520005,35,43.70972309,-79.39930509,Provided
-79.22088655,43.8092951200001,61,5548,Taibu Community Health Centre,children's treatment centre,Hospitals,Province of Ontario,,1371 Nelson Road,Toronto,ON,M1B4Z8,3520005,35,43.80929512,-79.22088655,Provided
-80.07588988,44.4685457900001,62,5690,The South Georgian Bay Community Health Centres,children's treatment centre,Hospitals,Province of Ontario,,14 Ramblewood Drive,Wasaga Beach,ON,L9Y0C4,3543064,35,44.46854579,-80.07588988,Provided
-79.03228419,43.84185373,63,5730,The Youth Centre,children's treatment centre,Hospitals,Province of Ontario,,360 Bayly Street W,Ajax,ON,L1S1P1,3518005,35,43.84185373,-79.03228419,Provided
-113.477577,53.5072809000001,64,292,The Good Samaritan Society — Dr. Gerald Zetter Care Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,9649 71 Ave,Edmonton,AB,T6E5J2,4811061,48,53.5072809,-113.477577,Provided
-122.3117414,49.0384349,65,1133,Menno Extended Care Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,32945 Marshall Rd,Abbotsford,BC,V2S1K1,5909052,59,49.0384349,-122.3117414,Provided
-97.2355201999999,49.8779998,66,1866,Deer Lodge Centre Inc.,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,2109 Portage Ave,Winnipeg,MB,R3J0L3,4611040,46,49.8779998,-97.2355202,Provided
-97.119886,49.8687590000001,67,1972,Riverview Health Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,1 Morley Ave E,Winnipeg,MB,R3L2P4,4611040,46,49.868759,-97.119886,Provided
-52.695163,47.576217,68,2189,The Dr. Leonard A. Miller Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,100 Forest Rd,St. John's,NL,A1A1E5,1001519,10,47.576217,-52.695163,Provided
-91.597609,48.754155,69,2571,Atikokan General Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,120 Dorothy St,Atikokan,ON,P0T1C0,3559001,35,48.754155,-91.597609,Provided
-79.433654,43.7305734,70,2611,Baycrest Geriatric Health Care System,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,3560 Bathurst St,Toronto,ON,M6A2E1,3520005,35,43.7305734,-79.433654,Provided
-80.3870838999999,43.2045736000001,71,2708,Brant Community Healthcare System - Willett Hospital Site,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,238 Grand River St N,Brant,ON,N3L2N7,3529005,35,43.2045736,-80.3870839,Provided
-79.355147,43.6658334000001,72,2718,Bridgepoint Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,14 St Matthews Rd,Toronto,ON,M4M2B5,3520005,35,43.6658334,-79.355147,Provided
-75.708815,45.4134910000001,73,2743,Bruyère - Hôpital Saint-Vincent Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,60 Cambridge St N,Ottawa,ON,K1R7A5,3506008,35,45.413491,-75.708815,Provided
-83.4149629999999,47.84117,74,2974,Chapleau General Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,6 Broomhead Rd,Chapleau,ON,P0M1K0,3552092,35,47.84117,-83.414963,Provided
-80.4130264999999,43.4255623000001,75,3674,Grand River Hospital - Freeport Site,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,3570 King St E,Kitchener,ON,N2A2W1,3530013,35,43.4255623,-80.4130265,Provided
-79.917184,43.2383890000001,76,3764,Hamilton Health Sciences - Chedoke Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,, Sanatorium Rd,Hamilton,ON,L9C1C4,3525005,35,43.238389,-79.917184,Provided
-80.072243,43.920509,77,3819,Headwaters Health Care Centre - Headwaters Shelburne,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,301 First Ave E,Orangeville,ON,L0N1S2,3522014,35,43.920509,-80.072243,Provided
-84.774059,49.2128270000001,78,3888,Hornepayne Community Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,278 Front St,Hornepayne,ON,P0M1Z0,3557096,35,49.212827,-84.774059,Provided
-79.929456,44.774881,79,3972,Hôpitall Privé Beechwood Private Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,58 Church St,Penetanguishene,ON,L9M1B3,3543072,35,44.774881,-79.929456,Provided
-79.2485612,42.9798733000001,80,4489,Niagara Health System - Welland Hospital Site,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,65 Third St,Welland,ON,L3B4W6,3526032,35,42.9798733,-79.2485612,Provided
-81.2252718,42.9554185000001,81,4715,Parkwood Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,801 Commissioners Rd E,London,ON,N6C5J1,3539036,35,42.9554185,-81.2252718,Provided
-79.9294472999999,44.7693002,82,4740,Penetanguishene General Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,25 Jeffery St,Penetanguishene,ON,L9M1K6,3543072,35,44.7693002,-79.9294473,Provided
-76.5062063999999,44.2237359000001,83,4835,Providence Care (Corporate Office) - St. Mary'S Of The Lake Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,340 Union St W,Kingston,ON,K7L5A2,3510010,35,44.2237359,-76.5062064,Provided
-79.2850295,43.7122051,84,4842,Providence Healthcare,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,3276 St Clair Ave E,Toronto,ON,M1L1W1,3520005,35,43.7122051,-79.2850295,Provided
-79.4811296,43.6641822,85,5084,Runnymede Healthcare Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,625 Runnymede Rd,Toronto,ON,M6S3A3,3520005,35,43.6641822,-79.4811296,Provided
-89.222677,48.4380580000001,86,5417,St. Joseph'S Care Group (Corporate Office) - St. Joseph'S Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,35 Algoma St N,Thunder Bay,ON,P7B5G7,3558004,35,48.438058,-89.222677,Provided
-80.272024,43.549994,87,5428,St. Joseph'S Health Centre - Guelph,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,100 Westmount Rd,Guelph,ON,N1H5H8,3523008,35,43.549994,-80.272024,Provided
-79.343706,43.708582,88,5439,St. Joseph'S Infirmary,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,2 Oconnor Dr,Toronto,ON,M4K2K1,3520005,35,43.708582,-79.343706,Provided
-79.3832017,43.670326,89,5684,The Salvation Army Toronto Grace Health Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,650 Church St,Toronto,ON,M4Y2G5,3520005,35,43.670326,-79.3832017,Provided
-80.7514738,43.1430052000001,90,6103,Woodstock Private Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,369 Huron St,Woodstock,ON,N4S7A5,3532042,35,43.1430052,-80.7514738,Provided
-73.5580434,45.5095069000001,91,6170,Montréal Chinese Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,189 Viger Ave E,Montréal,QC,H2X3Y9,2466023,24,45.5095069,-73.5580434,Provided
-73.668291,45.471576,92,7585,Donald Berman Maimonides Geriatric Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,5795 Caldwell Ave,Côte-Saint-Luc,QC,H4W1W3,2466058,24,45.471576,-73.668291,Provided
-73.5286176,45.5589563,93,7950,Grace Dart Extended Care Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,5155 St Catherine St E,Montréal,QC,H1V2A5,2466023,24,45.5589563,-73.5286176,Provided
-74.177567,45.082501,94,7969,Huntingdon County Hospital Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,198 Chateauguay St,Huntingdon,QC,J0S1H0,2469055,24,45.082501,-74.177567,Provided
-73.6338259999999,45.492871,95,8129,Jewish Eldercare Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,5725 Victoria Ave,Montréal,QC,H3W3H6,2466023,24,45.492871,-73.633826,Provided
-103.153413,51.8089820000001,96,8678,Invermay Health Centre,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,303 4 Ave N,Invermay,SK,S0A1M0,4709058,47,51.808982,-103.153413,Provided
-105.4556517,51.6740012000001,97,8957,Watrous Hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,702 4 St E,Watrous,SK,S0K4T0,4711053,47,51.6740012,-105.4556517,Provided
-107.614342,55.1467990000001,98,8545,Beauval Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,, Lavoie St,Beauval,SK,S0M0G0,4718033,47,55.146799,-107.614342,Provided
-107.040604,53.8342818,99,8549,Big River Health Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,220 1 Ave N,Big River,SK,S0J0E0,4716072,47,53.8342818,-107.040604,Provided
-105.4389316,52.9846372000001,100,8554,Birch Hills Health Facility (Birch Hills Primary Health Care Clinic),clinic,Ambulatory health care services,Saskatchewan Health Authorities,,3 Wilson Street,Birch Hills,SK,S0J0G0,4715068,47,52.9846372,-105.4389316,Provided
-106.882716,52.8302425000001,101,8556,Blaine Lake Primary Health Care Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,307 Main St S,Blaine Lake,SK,S0J0J0,4716016,47,52.8302425,-106.882716,Provided
-108.386761,49.209032,102,8558,Border Health Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,301 1 Street W,Climax,SK,S0N0N0,4704009,47,49.209032,-108.386761,Provided
-102.584409,50.373996,103,8563,Broadview Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,901 Nina Street,Broadview,SK,S0G0K0,4705031,47,50.373996,-102.584409,Provided
-108.480389,55.861272,104,8565,Buffalo Narrows Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,310 Davey St,Buffalo Narrows,SK,S0M0J0,4718070,47,55.861272,-108.480389,Provided
-108.467041,50.616969,105,8566,Cabri Medical Clinic (Primary Health Care Clinic),clinic,Ambulatory health care services,Saskatchewan Health Authorities,,519 1 Street N,Cabri,SK,S0N0J0,4708032,47,50.616969,-108.467041,Provided
-105.262795,53.7357680000001,106,8567,Candle Lake Health Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,, Highway 265,Candle Lake,SK,S0J3E0,4715070,47,53.735768,-105.262795,Provided
-103.795093,50.7694930000001,107,8640,Fort Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,121 Broadway Street W,Fort Qu'Appelle,SK,S0G1S0,4706051,47,50.769493,-103.795093,Provided
-102.934048,50.4122640000001,108,8659,Grenfell Health Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,721 Stella Street,Grenfell,SK,S0G2B0,4705029,47,50.412264,-102.934048,Provided
-106.962552,50.1120050000001,109,8667,Hodgeville Health Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,105 Main Street,Hodgeville,SK,S0H2B0,4707016,47,50.112005,-106.962552,Provided
-102.624187,50.098329,110,8703,Kipling Primary Health Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,200 4 Street S,Kipling,SK,S0G2S0,4705016,47,50.098329,-102.624187,Provided
-107.549492,53.6299510000001,111,8731,Leoville Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,, 1 Ave,Leoville,SK,S0J1N0,4716061,47,53.629951,-107.549492,Provided
-104.625605,50.4554000000001,112,8754,Maximily Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,3100 Dewdney Avenue,Regina,SK,S4T0Y4,4706027,47,50.4554,-104.625605,Provided
-104.638929,50.4552910000001,113,8759,Meadow Primary Health Care Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,4006 Dewdney Avenue,Regina,SK,S4T1A2,4706027,47,50.455291,-104.638929,Provided
-104.666148,50.4813760000001,114,8781,Normanview Mall Medi-Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,330 Mccarthy Blvd N,Regina,SK,S4R7M2,4706027,47,50.481376,-104.666148,Provided
-104.618967,50.4697630000001,115,8788,Northgate Medical Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,2711 Avonhurst Dr,Regina,SK,S4R3J3,4706027,47,50.469763,-104.618967,Provided
-104.573241,50.446022,116,8801,Park Plaza Medical Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,2036 Park Street,Regina,SK,S4N2G6,4706027,47,50.446022,-104.573241,Provided
-107.494359,49.7467710000001,117,8816,Ponteix Health Centre,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,428 2 Avenue,Ponteix,SK,S0N1Z0,4703058,47,49.746771,-107.494359,Provided
-105.773,53.199125,118,8832,Prince Albert Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,681 15 St W,Prince Albert,SK,S6V7H9,4715066,47,53.199125,-105.773,Provided
-105.9941,49.6317290000001,119,8844,Red Coat Primary Health Care Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,131 3 Ave W,Assiniboia,SK,S0H0B0,4703036,47,49.631729,-105.9941,Provided
-104.635786,50.474249,120,8848,Regent Park Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,3847 Sherwood Drive,Regina,SK,S4R4A8,4706027,47,50.474249,-104.635786,Provided
-104.664075,50.4958290000001,121,8859,Rochdale Crossing Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,1452022 Rochdale Blvd,Regina,SK,S4X2P9,4706027,47,50.495829,-104.664075,Provided
-106.661507,52.1345380000001,122,8876,Saskatoon Community Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,455 Second Avenue N,Saskatoon,SK,S7K2C2,4711066,47,52.134538,-106.661507,Provided
-105.750889,53.198987,123,8879,Sexual Health Clinic - Access Place,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,101 15 Street E,Prince Albert,SK,S6V1G1,4715066,47,53.198987,-105.750889,Provided
-106.392067,53.22049,124,8882,Shellbrook Primary Health Care Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,206 2 Ave W,Shellbrook,SK,S0J2E0,4716047,47,53.22049,-106.392067,Provided
-104.620872,50.403868,125,8888,South End Medical Clinic,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,2907 Gordon Rd,Regina,SK,S4S6H7,4706027,47,50.403868,-104.620872,Provided
-105.760679,53.1889560000001,126,8889,South Hill Medical Practice,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,2685 2 Ave W,Prince Albert,SK,S6V5E3,4715066,47,53.188956,-105.760679,Provided
-107.520244,53.3619590000001,127,8895,Spiritwood And District Health Complex,clinic,Ambulatory health care services,Saskatchewan Health Authorities,,400 1 E,Spiritwood,SK,S0J2M0,4716058,47,53.361959,-107.520244,Provided
